candidate_id	first_frame_rank	frame_items	external_upstream_name	E1	E2_REP	E2_RULE	E3	E4	overall	stop_gate	failure_code	protocol_issue_code	evidence_refs	canonical_source_location	external_target_identifier	primary_snapshot	authoritative_source_inventory_ref	enumerator_inventory_ref	completeness_class	tie_key
C073	73	73	clines	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C073-UR-01;EV-C073-E1-01;EV-C073-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C079	79	79	CosmoSmash	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C079-UR-01;EV-C079-E1-01;EV-C079-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C086	86	86	Crossfire client	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C086-UR-01;EV-C086-E1-01;EV-C086-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C105	105	105	eboard	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C105-UR-01;EV-C105-E1-01;EV-C105-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C109	109	109	Einstein	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C109-UR-01;EV-C109-E1-01;EV-C109-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C110	110	110	Eliot	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C110-UR-01;EV-C110-E1-01;EV-C110-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C006	6	6	DGen/SDL	PASS	FAIL	NOT_REACHED	NOT_REACHED	NOT_REACHED	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C006-UR-01;EV-C006-E1-01;EV-C006-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C007	7	7	DOSBox	PASS	FAIL	NOT_REACHED	NOT_REACHED	NOT_REACHED	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C007-UR-01;EV-C007-E1-01;EV-C007-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C011	11	11	Frodo	PASS	FAIL	NOT_REACHED	NOT_REACHED	NOT_REACHED	REJECTED	E2-REP	E2REP-NO-SINGLE-CANONICAL-LOCATION	NONE	EV-C011-UR-01;EV-C011-E1-01;EV-C011-E2REP-01	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C004	4	4	Tiled	PASS	PASS	PASS	PASS	UNRESOLVED	UNRESOLVED	E4	NONE	PI-UNCLASSIFIED-SHAPE	EV-C004-UR-01;EV-C004-E1-01;EV-C004-E2REP-01;EV-C004-E2RULE-02;EV-C004-E3-02;EV-C004-E4-03	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C005	5	5	AdvanceMAME	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-TRANSPORT-INDETERMINATE	EV-C005-UR-01;EV-C005-E1-01;EV-C005-E2REP-02	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C008	8	8	DOSBox-X	PASS	PASS	PASS	PASS	UNRESOLVED	UNRESOLVED	E4	NONE	PI-UNCLASSIFIED-SHAPE	EV-C008-UR-01;EV-C008-E1-01;EV-C008-E2REP-01;EV-C008-E2RULE-01;EV-C008-E3-02;EV-C008-E4-03	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C010	10	10	Flycast	PASS	PASS	PASS	PASS	PASS	ELIGIBLE	NONE	NONE	NONE	EV-C010-UR-01;EV-C010-E1-01;EV-C010-E2REP-01;EV-C010-E2RULE-01;EV-C010-E3-01;EV-C010-E4-01	https://github.com/flyinghead/flycast	Flycast	c3763d8fc4208dd6f8f0bc456383543b8406a8a0	PENDING_INVENTORY	PENDING_INVENTORY	PENDING_INVENTORY	(https://github.com/flyinghead/flycast, Flycast)
C012	12	12	libchdr	PASS	PASS	PASS	PASS	PASS	ELIGIBLE	NONE	NONE	NONE	EV-C012-UR-01;EV-C012-E1-01;EV-C012-E2REP-01;EV-C012-E2RULE-01;EV-C012-E3-01;EV-C012-E4-01	https://github.com/rtissera/libchdr	libchdr	970a0ce060c0aa1012b1eebba1433c9a9e8ac8b9	PENDING_INVENTORY	PENDING_INVENTORY	PENDING_INVENTORY	(https://github.com/rtissera/libchdr, libchdr)
C014	14	14	Snes9x	PASS	UNRESOLVED	NOT_REACHED	NOT_REACHED	NOT_REACHED	UNRESOLVED	E2-REP	NONE	PI-UNCLASSIFIED-SHAPE	EV-C014-UR-01;EV-C014-E1-01;EV-C014-E2REP-02	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED	NOT_REACHED
C009	9	9	FCEUX	PASS	PASS	PASS	PASS	PASS	ELIGIBLE	NONE	NONE	NONE	EV-C009-UR-01;EV-C009-E1-01;EV-C009-E2REP-01;EV-C009-E2RULE-01;EV-C009-E3-01;EV-C009-E4-01	https://github.com/TASEmulators/fceux	FCEUX	a62b868e9247c4aafd66f597cdfa8d2609704087	PENDING_INVENTORY	PENDING_INVENTORY	PENDING_INVENTORY	(https://github.com/TASEmulators/fceux, FCEUX)
C013	13	13	Mednafen	PASS	PASS	PASS	PASS	PASS	ELIGIBLE	NONE	NONE	NONE	EV-C013-UR-01;EV-C013-E1-01;EV-C013-E2REP-01;EV-C013-E2RULE-01;EV-C013-E3-01;EV-C013-E4-01	https://mednafen.github.io/releases/files/mednafen-1.32.1.tar.xz	Mednafen	sha256:de7eb94ab66212ae7758376524368a8ab208234b33796625ca630547dbc83832	PENDING_INVENTORY	PENDING_INVENTORY	PENDING_INVENTORY	(https://mednafen.github.io/releases/files/mednafen-1.32.1.tar.xz, Mednafen)
